2025-10-10 19:47:01.906 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 11 English IPOs from page 6
2025-10-10 19:47:01.907 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=0
2025-10-10 19:47:02.296 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 0
2025-10-10 19:47:02.630 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=120
2025-10-10 19:47:02.773 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 4
2025-10-10 19:47:02.871 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=120
2025-10-10 19:47:03.018 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 4
2025-10-10 19:47:03.299 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=30
2025-10-10 19:47:03.365 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 0
2025-10-10 19:47:03.454 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 1
2025-10-10 19:47:03.775 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=150
2025-10-10 19:47:03.931 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 5
2025-10-10 19:47:04.020 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=150
2025-10-10 19:47:04.181 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 5
2025-10-10 19:47:04.372 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=30
2025-10-10 19:47:04.458 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=60
2025-10-10 19:47:04.613 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 2
2025-10-10 19:47:04.933 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=180
2025-10-10 19:47:05.076 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 11 English IPOs from page 6
2025-10-10 19:47:05.077 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=0
2025-10-10 19:47:05.183 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=180
2025-10-10 19:47:05.238 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 0
2025-10-10 19:47:05.330 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 11 English IPOs from page 6
2025-10-10 19:47:05.330 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=0
2025-10-10 19:47:05.480 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:55 - ✅ Fetched 30 Arabic IPOs from page 0
2025-10-10 19:47:05.615 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=90
